RegionName,CountyName,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
San Jose,Santa Clara County,1848,1836,1828,1816,1803,1803,1813,1833,1862,1898,1931,1951,1954,1947,1946,1951,1961,1982,2016,2061,2099,2134,2157,2179,2188,2196,2191,2187,2183,2183,2189,2198,2208,2220,2230,2236,2233,2227,2229,2238,2254,2272,2295,2319,2363,2412,2466,2503,2530,2549,2562,2574,2585,2604,2631,2673,2718,2760,2787,2802,2810,2817,2829,2846,2872,2894,2915,2926,2935,2938,2939,2931,2915,2892,2868,2854,2853,2866,2891,2917,2943,2965,2979,2988,2987,2984,2981,2982,2986,2990,2994,2996,2996,2997,2997,3002,3017
Sunnyvale,Santa Clara County,2231,2255,2258,2247,2235,2232,2246,2275,2315,2362,2399,2419,2416,2405,2399,2395,2389,2384,2399,2427,2457,2478,2493,2501,2495,2484,2475,2477,2485,2498,2514,2528,2542,2554,2572,2580,2588,2592,2627,2672,2736,2789,2838,2875,2916,2965,3014,3049,3077,3106,3131,3145,3152,3167,3203,3256,3315,3360,3380,3383,3380,3382,3393,3408,3426,3439,3452,3467,3479,3484,3475,3452,3415,3376,3343,3325,3322,3332,3354,3391,3437,3480,3503,3505,3488,3467,3450,3447,3450,3453,3455,3456,3456,3456,3455,3460,3474
Santa Clara,Santa Clara County,2091,2083,2064,2026,2005,1995,1995,2022,2066,2123,2166,2196,2209,2214,2219,2222,2224,2228,2247,2278,2312,2336,2350,2360,2366,2371,2369,2369,2370,2375,2389,2399,2410,2416,2425,2436,2449,2463,2484,2506,2532,2569,2610,2645,2677,2721,2777,2818,2844,2858,2870,2885,2906,2933,2963,2993,3023,3052,3070,3082,3086,3098,3112,3136,3155,3167,3167,3171,3178,3186,3181,3164,3132,3097,3066,3055,3062,3080,3104,3128,3155,3182,3200,3205,3191,3173,3158,3155,3165,3175,3182,3184,3186,3187,3187,3190,3194
Mountain View,Santa Clara County,2234,2262,2280,2287,2283,2281,2291,2323,2363,2400,2428,2443,2453,2455,2456,2469,2482,2495,2498,2508,2530,2544,2546,2522,2495,2484,2506,2541,2575,2603,2630,2628,2624,2610,2618,2648,2701,2776,2832,2873,2886,2910,2950,3003,3086,3173,3271,3319,3348,3358,3361,3341,3308,3302,3333,3394,3447,3484,3501,3504,3499,3492,3503,3526,3565,3582,3599,3608,3628,3639,3643,3623,3581,3529,3481,3456,3444,3442,3443,3457,3488,3525,3549,3550,3532,3512,3497,3492,3491,3493,3494,3495,3496,3496,3497,3504,3534
Milpitas,Santa Clara County,2026,2011,1986,1964,1962,1962,1970,1993,2027,2081,2123,2146,2147,2144,2143,2143,2143,2159,2177,2198,2216,2240,2268,2300,2313,2314,2297,2285,2279,2281,2284,2286,2293,2307,2323,2340,2349,2359,2371,2391,2420,2454,2486,2508,2537,2560,2591,2611,2637,2666,2711,2754,2786,2795,2804,2818,2847,2883,2915,2934,2942,2943,2951,2962,2979,2993,3013,3030,3046,3050,3044,3030,3014,3002,2996,3000,3017,3040,3064,3078,3083,3086,3094,3102,3103,3100,3100,3102,3114,3124,3130,3128,3125,3120,3113,3114,3116
Gilroy,Santa Clara County,1795,1796,1795,1785,1774,1772,1768,1768,1768,1775,1791,1808,1822,1825,1822,1818,1815,1842,1893,1952,1992,2028,2056,2075,2084,2094,2080,2046,2000,1972,1975,2000,2032,2063,2072,2057,2015,1991,1992,2002,2005,2014,2038,2070,2122,2194,2275,2344,2384,2409,2421,2427,2424,2423,2437,2459,2510,2568,2626,2658,2676,2689,2694,2692,2685,2684,2705,2738,2772,2780,2770,2734,2694,2660,2646,2636,2642,2660,2708,2755,2792,2818,2829,2834,2829,2816,2795,2763,2746,2737,2736,2734,2735,2737,2736,2746,2790
Cupertino,Santa Clara County,2300,2322,2341,2350,2337,2338,2356,2386,2413,2449,2476,2494,2496,2493,2476,2465,2465,2487,2511,2525,2532,2537,2573,2606,2614,2591,2569,2559,2553,2561,2583,2627,2677,2732,2765,2789,2781,2775,2780,2808,2840,2870,2915,2958,3020,3086,3159,3210,3242,3259,3252,3236,3221,3241,3294,3360,3413,3444,3465,3477,3484,3489,3499,3503,3514,3524,3547,3569,3601,3630,3638,3610,3558,3504,3456,3423,3410,3417,3434,3464,3497,3527,3541,3538,3522,3500,3481,3472,3473,3482,3488,3490,3490,3491,3492,3496,3500
Campbell,Santa Clara County,2057,2081,2072,2042,2024,2020,2022,2051,2092,2143,2176,2197,2201,2195,2183,2170,2169,2179,2207,2235,2261,2277,2290,2316,2340,2356,2354,2339,2325,2322,2338,2356,2368,2379,2400,2414,2426,2437,2461,2482,2518,2574,2636,2676,2708,2736,2761,2765,2767,2790,2820,2856,2870,2890,2912,2954,2995,3028,3039,3046,3052,3066,3086,3115,3141,3159,3166,3175,3183,3185,3177,3157,3125,3087,3051,3035,3036,3055,3076,3101,3122,3142,3162,3179,3186,3179,3171,3167,3171,3177,3183,3187,3189,3190,3190,3189,3187
Los Gatos,Santa Clara County,2386,2392,2400,2414,2421,2429,2447,2469,2487,2503,2515,2531,2536,2540,2533,2530,2534,2543,2560,2573,2595,2630,2655,2669,2664,2677,2681,2683,2683,2692,2709,2725,2754,2797,2827,2836,2800,2764,2765,2796,2857,2933,3020,3091,3167,3238,3303,3325,3329,3342,3358,3381,3395,3416,3467,3525,3581,3613,3632,3645,3650,3645,3642,3638,3648,3659,3677,3699,3719,3732,3739,3740,3716,3666,3603,3560,3540,3537,3556,3598,3643,3672,3678,3670,3656,3631,3605,3587,3588,3600,3612,3612,3608,3603,3604,3616,3653
Los Altos,Santa Clara County,2590,2607,2612,2617,2585,2560,2555,2564,2598,2695,2804,2886,2907,2907,2886,2844,2810,2801,2826,2865,2925,2974,2973,2941,2899,2880,2868,2851,2863,2893,2938,2950,2962,2969,3004,3031,3071,3111,3187,3259,3327,3376,3432,3480,3546,3644,3787,3922,4034,4109,4161,4202,4205,4213,4181,4166,4133,4166,4210,4249,4246,4237,4231,4207,4184,4156,4161,4176,4202,4211,4196,4151,4072,3983,3918,3892,3893,3901,3916,3932,3952,3974,3989,3987,3966,3948,3934,3951,3986,4034,4058,4069,4067,4068,4065,4064,4059
Saratoga,Santa Clara County,2300,2316,2339,2354,2367,2386,2420,2449,2469,2494,2519,2539,2540,2528,2510,2500,2503,2509,2527,2535,2557,2579,2627,2678,2719,2734,2711,2672,2626,2618,2641,2697,2759,2842,2873,2873,2829,2808,2811,2821,2844,2891,2953,3012,3087,3168,3257,3297,3315,3318,3311,3303,3306,3329,3364,3400,3431,3463,3484,3501,3507,3507,3514,3524,3532,3535,3539,3558,3580,3608,3622,3619,3591,3549,3503,3466,3446,3446,3465,3509,3555,3588,3596,3592,3577,3561,3554,3557,3563,3570,3578,3583,3586,3588,3592,3598,3595
Morgan Hill,Santa Clara County,1907,1915,1917,1898,1889,1901,1916,1929,1942,1968,1993,2011,2006,1998,1986,1985,1986,2006,2042,2089,2130,2172,2201,2221,2221,2219,2208,2202,2178,2159,2151,2176,2200,2216,2224,2234,2233,2224,2215,2204,2207,2229,2271,2313,2356,2404,2454,2500,2539,2571,2591,2596,2590,2599,2642,2706,2765,2807,2836,2848,2842,2828,2824,2826,2840,2844,2857,2862,2875,2883,2892,2887,2871,2856,2844,2844,2855,2873,2903,2927,2946,2951,2961,2978,3003,3019,3025,3009,2991,2976,2972,2969,2967,2964,2960,2959,2964
Stanford,Santa Clara County,2660,2638,2612,2597,2559,2521,2526,2559,2597,2657,2699,2777,2835,2904,2914,2834,2779,2807,2947,3104,3218,3232,3156,3099,3132,3186,3145,3066,3014,3003,3040,3050,3041,2972,2918,2938,3010,3125,3239,3340,3404,3428,3442,3473,3532,3630,3713,3793,3853,3892,3916,3905,3915,3921,3948,3978,4022,4064,4115,4146,4112,4033,3940,3961,4026,4110,4128,4146,4172,4171,4130,4074,4014,3960,3908,3904,3938,3977,4013,4059,4130,4207,4248,4231,4153,4047,3953,3906,3906,3935,3962,3978,3976,3958,3929,3914,3932
